,Team,Runner,Yards,Run Time,Min,Max,Avg,Nationality,Gen,Age,Yard 1,Yard 2,Yard 3,Yard 4,Yard 5,Yard 6,Yard 7,Yard 8,Yard 9,Yard 10,Yard 11,Yard 12,Yard 13,Yard 14,Yard 15,Yard 16,Yard 17,Yard 18,Yard 19,Yard 20,Yard 21,Yard 22,Yard 23,Yard 24,Yard 25,Yard 26,Yard 27,Yard 28,Yard 29,Yard 30,Yard 31,Yard 32,Yard 33,Yard 34,Yard 35,Yard 36,Yard 37,Yard 38,Yard 39,Yard 40,Yard 41,Yard 42,Yard 43,Yard 44,Yard 45,Yard 46,Yard 47,Yard 48,Yard 49,Yard 50,Yard 51,Yard 52,Yard 53,Yard 54,Yard 55,Yard 56,Yard 57,Yard 58,Yard 59,Yard 60,Yard 61,Yard 62,Yard 63,Yard 64,Yard 65,Yard 66,Yard 67,Yard 68,Yard 69,Yard 70,Yard 71,Yard 72,Yard 73,Yard 74,Yard 75
113,Denmark,Lue Tornbo Baastrup,30,23:44:04,44:00:00,53:30:00,47:28:00,Danish,F,28,44:00:00,46:40:00,46:00:00,47:00:00,46:00:00,47:00:00,45:00:00,44:20:00,45:00:00,45:19:00,46:35:00,46:20:00,46:50:00,46:10:00,47:00:00,46:40:00,47:55:00,46:50:00,45:40:00,46:20:00,47:25:00,47:50:00,48:40:00,49:05:00,49:15:00,51:30:00,50:55:00,50:30:00,52:45:00,53:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Finland,Marianne Mäkinen,30,23:54:26,44:35:00,51:00:00,47:49:00,Finland,F,51,44:55:00,47:21:00,44:35:00,47:50:00,47:00:00,48:05:00,46:40:00,47:55:00,48:55:00,48:20:00,48:50:00,48:20:00,47:55:00,48:30:00,48:10:00,48:00:00,48:10:00,46:25:00,46:40:00,45:45:00,49:00:00,47:50:00,47:10:00,47:30:00,48:30:00,49:55:00,51:00:00,51:00:00,48:45:00,45:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Mexico,Hermilo García Gardea,30,23:57:41,40:48:00,52:49:00,47:55:00,Tarahumara Mexican,M,,40:48:00,48:26:00,50:49:00,50:15:00,51:57:00,50:05:00,50:26:00,49:03:00,49:26:00,49:07:00,50:25:00,45:42:00,45:53:00,48:42:00,48:50:00,51:36:00,43:02:00,52:49:00,51:30:00,50:52:00,41:50:00,48:51:00,41:40:00,52:38:00,44:30:00,43:10:00,44:40:00,46:18:00,50:11:00,44:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Spain,Félix Sánchez Parra,30,24:49:44,46:21:00,52:18:00,49:39:00,Spain,M,46,47:05:00,47:53:00,48:25:00,46:43:00,46:21:00,46:49:00,48:49:00,49:19:00,48:06:00,47:51:00,49:09:00,49:56:00,49:06:00,50:52:00,50:34:00,51:11:00,49:26:00,49:55:00,49:38:00,50:03:00,49:40:00,50:19:00,50:19:00,50:19:00,52:10:00,52:18:00,51:39:00,51:58:00,52:16:00,51:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ireland,Richard Shannon,30,24:50:10,44:36:00,58:20:00,49:40:00,Northern Ireland,M,,48:06:00,49:03:00,58:20:00,48:16:00,48:10:00,48:33:00,49:20:00,48:33:00,49:34:00,48:33:00,49:43:00,50:00:00,49:28:00,49:55:00,53:32:00,49:42:00,50:44:00,48:54:00,44:36:00,48:07:00,47:01:00,48:32:00,49:12:00,48:09:00,49:29:00,49:09:00,49:23:00,51:45:00,53:11:00,53:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Spain,Axier López De Aberasturi,30,25:02:54,39:25:00,54:28:00,50:06:00,Spain,M,41,48:18:00,51:11:00,51:07:00,50:23:00,47:26:00,50:36:00,51:29:00,51:57:00,50:02:00,50:40:00,51:36:00,50:43:00,51:00:00,51:57:00,51:50:00,52:25:00,44:44:00,48:17:00,39:25:00,46:47:00,50:28:00,50:27:00,47:38:00,47:38:00,49:41:00,52:10:00,52:16:00,53:57:00,54:28:00,52:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Switzerland,Adrian Brennwald,30,25:15:22,41:14:00,57:18:00,50:31:00,Switzerland ,M,45,49:00:00,41:14:00,49:14:00,49:51:00,49:48:00,54:27:00,49:28:00,47:40:00,51:25:00,49:49:00,49:42:00,49:08:00,49:51:00,51:02:00,49:42:00,49:50:00,52:43:00,49:38:00,48:44:00,48:01:00,50:39:00,51:38:00,50:00:00,50:35:00,51:51:00,49:44:00,55:44:00,53:13:00,54:23:00,57:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Spain,Ibon Gamboa Santorcuato,30,25:20:57,47:23:00,53:04:00,50:42:00,Spain,M,48,48:20:00,51:03:00,51:08:00,50:21:00,47:23:00,51:30:00,51:27:00,51:56:00,50:01:00,50:42:00,51:41:00,50:42:00,50:59:00,51:59:00,51:43:00,52:24:00,50:41:00,51:03:00,48:29:00,48:01:00,48:55:00,49:08:00,49:08:00,49:08:00,52:30:00,51:17:00,51:07:00,52:51:00,53:04:00,52:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Canada,Wayne Gaudet,30,25:27:48,45:05:00,56:35:00,50:56:00,Canadian,M,64,45:17:00,45:05:00,48:26:00,49:37:00,49:53:00,46:13:00,48:38:00,48:55:00,48:48:00,48:43:00,50:05:00,50:34:00,51:00:00,51:15:00,52:31:00,54:01:00,51:33:00,52:39:00,52:05:00,49:30:00,51:09:00,53:11:00,51:36:00,52:47:00,54:27:00,52:02:00,53:48:00,53:29:00,53:56:00,56:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Sweden,Daniel George,30,26:12:36,49:11:00,58:05:00,52:25:00,Sweden,M,44,51:19:00,53:43:00,52:06:00,53:20:00,56:32:00,50:17:00,49:48:00,53:19:00,51:45:00,55:42:00,53:27:00,52:29:00,49:54:00,50:45:00,50:50:00,51:04:00,53:16:00,52:11:00,51:48:00,49:11:00,51:20:00,53:48:00,51:19:00,51:17:00,51:45:00,54:23:00,51:35:00,52:07:00,54:11:00,58:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
